onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
194.6826172	0.0002	electrical_stimulation	n/a	n/a	398710	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
236.9790039	0.0002	electrical_stimulation	n/a	n/a	485333	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
261.3442383	0.0002	electrical_stimulation	n/a	n/a	535233	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
266.1694336	0.0002	electrical_stimulation	n/a	n/a	545115	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
271.1611328	0.0002	electrical_stimulation	n/a	n/a	555338	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
276.3613281	0.0002	electrical_stimulation	n/a	n/a	565988	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
282.0131836	0.0002	electrical_stimulation	n/a	n/a	577563	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
287.0366211	0.0002	electrical_stimulation	n/a	n/a	587851	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
294.1801758	0.0002	electrical_stimulation	n/a	n/a	602481	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
299.7431641	0.0002	electrical_stimulation	n/a	n/a	613874	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
305.2939453	0.0002	electrical_stimulation	n/a	n/a	625242	biphasic	LD14-LD15	184-185	6.0 mA	n/a	bad	electrodes close to skull
339.5180664	0.0002	electrical_stimulation	n/a	n/a	695333	biphasic	LD13-LD14	183-184	6.0 mA	n/a	bad	electrodes close to skull
344.6201172	0.0002	electrical_stimulation	n/a	n/a	705782	biphasic	LD13-LD14	183-184	6.0 mA	n/a	bad	electrodes close to skull
349.7246094	0.0002	electrical_stimulation	n/a	n/a	716236	biphasic	LD13-LD14	183-184	6.0 mA	n/a	bad	electrodes close to skull
353.53125	0.0002	electrical_stimulation	n/a	n/a	724032	biphasic	LD13-LD14	183-184	6.0 mA	n/a	bad	electrodes close to skull
357.6357422	0.0002	electrical_stimulation	n/a	n/a	732438	biphasic	LD13-LD14	183-184	6.0 mA	n/a	bad	electrodes close to skull
361.8422852	0.0002	electrical_stimulation	n/a	n/a	741053	biphasic	LD13-LD14	183-184	6.0 mA	n/a	bad	electrodes close to skull
366.3842773	0.0002	electrical_stimulation	n/a	n/a	750355	biphasic	LD13-LD14	183-184	6.0 mA	n/a	bad	electrodes close to skull
371.7109375	0.0002	electrical_stimulation	n/a	n/a	761264	biphasic	LD13-LD14	183-184	6.0 mA	n/a	bad	electrodes close to skull
376.6098633	0.0002	electrical_stimulation	n/a	n/a	771297	biphasic	LD13-LD14	183-184	6.0 mA	n/a	bad	electrodes close to skull
381.6992188	0.0002	electrical_stimulation	n/a	n/a	781720	biphasic	LD13-LD14	183-184	6.0 mA	n/a	bad	electrodes close to skull
402.484375	0.0002	electrical_stimulation	n/a	n/a	824288	biphasic	LD12-LD13	182-183	6.0 mA	n/a	good	n/a
406.949707	0.0002	electrical_stimulation	n/a	n/a	833433	biphasic	LD12-LD13	182-183	6.0 mA	n/a	bad	n/a
411.7802734	0.0002	electrical_stimulation	n/a	n/a	843326	biphasic	LD12-LD13	182-183	6.0 mA	n/a	good	n/a
416.3173828	0.0002	electrical_stimulation	n/a	n/a	852618	biphasic	LD12-LD13	182-183	6.0 mA	n/a	good	n/a
420.8759766	0.0002	electrical_stimulation	n/a	n/a	861954	biphasic	LD12-LD13	182-183	6.0 mA	n/a	good	n/a
424.5400391	0.0002	electrical_stimulation	n/a	n/a	869458	biphasic	LD12-LD13	182-183	6.0 mA	n/a	good	n/a
429.5424805	0.0002	electrical_stimulation	n/a	n/a	879703	biphasic	LD12-LD13	182-183	6.0 mA	n/a	good	n/a
433.9799805	0.0002	electrical_stimulation	n/a	n/a	888791	biphasic	LD12-LD13	182-183	6.0 mA	n/a	good	n/a
438.6318359	0.0002	electrical_stimulation	n/a	n/a	898318	biphasic	LD12-LD13	182-183	6.0 mA	n/a	good	n/a
443.4707031	0.0002	electrical_stimulation	n/a	n/a	908228	biphasic	LD12-LD13	182-183	6.0 mA	n/a	good	n/a
448.690918	0.0002	electrical_stimulation	n/a	n/a	918919	biphasic	LD12-LD13	182-183	6.0 mA	n/a	good	n/a
467.003418	0.0002	electrical_stimulation	n/a	n/a	956423	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	noise fixed when referencing
472.8979492	0.0002	electrical_stimulation	n/a	n/a	968495	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	n/a
477.4638672	0.0002	electrical_stimulation	n/a	n/a	977846	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	n/a
482.0415039	0.0002	electrical_stimulation	n/a	n/a	987221	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	n/a
486.1611328	0.0002	electrical_stimulation	n/a	n/a	995658	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	n/a
490.0595703	0.0002	electrical_stimulation	n/a	n/a	1003642	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	art ~ -0.8 fixed when referencing
496.503418	0.0002	electrical_stimulation	n/a	n/a	1016839	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	n/a
501.3964844	0.0002	electrical_stimulation	n/a	n/a	1026860	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	n/a
506.1943359	0.0002	electrical_stimulation	n/a	n/a	1036686	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	n/a
511.3242188	0.0002	electrical_stimulation	n/a	n/a	1047192	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	n/a
516.4399414	0.0002	electrical_stimulation	n/a	n/a	1057669	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	art ~0.6 fixed when referencing
521.4453125	0.0002	electrical_stimulation	n/a	n/a	1067920	biphasic	LD11-LD12	181-182	6.0 mA	n/a	good	n/a
550.7709961	0.0002	electrical_stimulation	n/a	n/a	1127979	biphasic	LD10-LD11	180-181	6.0 mA	n/a	good	n/a
555.9824219	0.0002	electrical_stimulation	n/a	n/a	1138652	biphasic	LD10-LD11	180-181	6.0 mA	n/a	good	n/a
559.3422852	0.0002	electrical_stimulation	n/a	n/a	1145533	biphasic	LD10-LD11	180-181	6.0 mA	n/a	good	n/a
564.1689453	0.0002	electrical_stimulation	n/a	n/a	1155418	biphasic	LD10-LD11	180-181	6.0 mA	n/a	good	n/a
568.1577148	0.0002	electrical_stimulation	n/a	n/a	1163587	biphasic	LD10-LD11	180-181	6.0 mA	n/a	good	n/a
574.0292969	0.0002	electrical_stimulation	n/a	n/a	1175612	biphasic	LD10-LD11	180-181	6.0 mA	n/a	good	artifacts fixed when referencing
578.8583984	0.0002	electrical_stimulation	n/a	n/a	1185502	biphasic	LD10-LD11	180-181	6.0 mA	n/a	good	n/a
583.9487305	0.0002	electrical_stimulation	n/a	n/a	1195927	biphasic	LD10-LD11	180-181	6.0 mA	n/a	good	n/a
588.0581055	0.0002	electrical_stimulation	n/a	n/a	1204343	biphasic	LD10-LD11	180-181	6.0 mA	n/a	good	n/a
593.9335938	0.0002	electrical_stimulation	n/a	n/a	1216376	biphasic	LD10-LD11	180-181	6.0 mA	n/a	good	n/a
616.5195313	0.0002	electrical_stimulation	n/a	n/a	1262632	biphasic	LD9-LD10	179-180	6.0 mA	n/a	good	n/a
621.5175781	0.0002	electrical_stimulation	n/a	n/a	1272868	biphasic	LD9-LD10	179-180	6.0 mA	n/a	good	n/a
625.4916992	0.0002	electrical_stimulation	n/a	n/a	1281007	biphasic	LD9-LD10	179-180	6.0 mA	n/a	good	artifacts fixed when referencing
629.6499023	0.0002	electrical_stimulation	n/a	n/a	1289523	biphasic	LD9-LD10	179-180	6.0 mA	n/a	good	n/a
634.1923828	0.0002	electrical_stimulation	n/a	n/a	1298826	biphasic	LD9-LD10	179-180	6.0 mA	n/a	good	n/a
638.6186523	0.0002	electrical_stimulation	n/a	n/a	1307891	biphasic	LD9-LD10	179-180	6.0 mA	n/a	good	n/a
643.4667969	0.0002	electrical_stimulation	n/a	n/a	1317820	biphasic	LD9-LD10	179-180	6.0 mA	n/a	good	n/a
647.4501953	0.0002	electrical_stimulation	n/a	n/a	1325978	biphasic	LD9-LD10	179-180	6.0 mA	n/a	good	n/a
651.9990234	0.0002	electrical_stimulation	n/a	n/a	1335294	biphasic	LD9-LD10	179-180	6.0 mA	n/a	good	n/a
656.1069336	0.0002	electrical_stimulation	n/a	n/a	1343707	biphasic	LD9-LD10	179-180	6.0 mA	n/a	good	n/a
671.4990234	0.0002	electrical_stimulation	n/a	n/a	1375230	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	n/a
677.3725586	0.0002	electrical_stimulation	n/a	n/a	1387259	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	art ~ -0.3 fixed when referencing
682.6088867	0.0002	electrical_stimulation	n/a	n/a	1397983	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	n/a
686.1748047	0.0002	electrical_stimulation	n/a	n/a	1405286	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	artifact ~1.3s fixed when referencing
692.5170898	0.0002	electrical_stimulation	n/a	n/a	1418275	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	n/a
696.75	0.0002	electrical_stimulation	n/a	n/a	1426944	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	art ~-0.6 fixed when referencing
701.4238281	0.0002	electrical_stimulation	n/a	n/a	1436516	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	n/a
707.1943359	0.0002	electrical_stimulation	n/a	n/a	1448334	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	n/a
712.2036133	0.0002	electrical_stimulation	n/a	n/a	1458593	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	n/a
718.7568359	0.0002	electrical_stimulation	n/a	n/a	1472014	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	n/a
723.0849609	0.0002	electrical_stimulation	n/a	n/a	1480878	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	noise fixed when referencing
727.6845703	0.0002	electrical_stimulation	n/a	n/a	1490298	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	art. ~-0.3 fixed when referencing
732.5371094	0.0002	electrical_stimulation	n/a	n/a	1500236	biphasic	LD8-LD9	178-179	6.0 mA	n/a	good	n/a
752.3608398	0.0002	electrical_stimulation	n/a	n/a	1540835	biphasic	LD7-LD8	177-178	6.0 mA	n/a	good	n/a
757.8989258	0.0002	electrical_stimulation	n/a	n/a	1552177	biphasic	LD7-LD8	177-178	6.0 mA	n/a	good	n/a
762.2773438	0.0002	electrical_stimulation	n/a	n/a	1561144	biphasic	LD7-LD8	177-178	6.0 mA	n/a	good	n/a
