onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
369.15380859375	0.0002	electrical_stimulation	n/a	n/a	756027	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
374.48681640625	0.0002	electrical_stimulation	n/a	n/a	766949	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
379.7314453125	0.0002	electrical_stimulation	n/a	n/a	777690	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
384.83544921875	0.0002	electrical_stimulation	n/a	n/a	788143	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
390.77880859375	0.0002	electrical_stimulation	n/a	n/a	800315	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
396.0859375	0.0002	electrical_stimulation	n/a	n/a	811184	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
400.96044921875	0.0002	electrical_stimulation	n/a	n/a	821167	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
405.95458984375	0.0002	electrical_stimulation	n/a	n/a	831395	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
411.84619140625	0.0002	electrical_stimulation	n/a	n/a	843461	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	artif ~onset fixed when referencing
415.56298828125	0.0002	electrical_stimulation	n/a	n/a	851073	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
420.8388671875	0.0002	electrical_stimulation	n/a	n/a	861878	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
425.640625	0.0002	electrical_stimulation	n/a	n/a	871712	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
430.0927734375	0.0002	electrical_stimulation	n/a	n/a	880830	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
434.55029296875	0.0002	electrical_stimulation	n/a	n/a	889959	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
439.91455078125	0.0002	electrical_stimulation	n/a	n/a	900945	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
467.05419921875	0.0002	electrical_stimulation	n/a	n/a	956527	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
471.6787109375	0.0002	electrical_stimulation	n/a	n/a	965998	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
480.0498046875	0.0002	electrical_stimulation	n/a	n/a	983142	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
493.7607421875	0.0002	electrical_stimulation	n/a	n/a	1011222	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
503.32373046875	0.0002	electrical_stimulation	n/a	n/a	1030807	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
511.7734375	0.0002	electrical_stimulation	n/a	n/a	1048112	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
537.82275390625	0.0002	electrical_stimulation	n/a	n/a	1101461	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
544.92529296875	0.0002	electrical_stimulation	n/a	n/a	1116007	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
569.72802734375	0.0002	electrical_stimulation	n/a	n/a	1166803	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
574.6796875	0.0002	electrical_stimulation	n/a	n/a	1176944	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
579.162109375	0.0002	electrical_stimulation	n/a	n/a	1186124	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
583.67724609375	0.0002	electrical_stimulation	n/a	n/a	1195371	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
587.92578125	0.0002	electrical_stimulation	n/a	n/a	1204072	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
591.6796875	0.0002	electrical_stimulation	n/a	n/a	1211760	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
595.69873046875	0.0002	electrical_stimulation	n/a	n/a	1219991	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
603.72216796875	0.0002	electrical_stimulation	n/a	n/a	1236423	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
608.1953125	0.0002	electrical_stimulation	n/a	n/a	1245584	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
612.27734375	0.0002	electrical_stimulation	n/a	n/a	1253944	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
629.98876953125	0.0002	electrical_stimulation	n/a	n/a	1290217	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
634.39892578125	0.0002	electrical_stimulation	n/a	n/a	1299249	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
639.01953125	0.0002	electrical_stimulation	n/a	n/a	1308712	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
643.47607421875	0.0002	electrical_stimulation	n/a	n/a	1317839	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
647.740234375	0.0002	electrical_stimulation	n/a	n/a	1326572	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
653.099609375	0.0002	electrical_stimulation	n/a	n/a	1337548	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
657.5205078125	0.0002	electrical_stimulation	n/a	n/a	1346602	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
662.54638671875	0.0002	electrical_stimulation	n/a	n/a	1356895	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
666.654296875	0.0002	electrical_stimulation	n/a	n/a	1365308	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
671.404296875	0.0002	electrical_stimulation	n/a	n/a	1375036	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
692.3486328125	0.0002	electrical_stimulation	n/a	n/a	1417930	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
696.73583984375	0.0002	electrical_stimulation	n/a	n/a	1426915	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
701.1513671875	0.0002	electrical_stimulation	n/a	n/a	1435958	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
705.2861328125	0.0002	electrical_stimulation	n/a	n/a	1444426	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
710.57275390625	0.0002	electrical_stimulation	n/a	n/a	1455253	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
715.52978515625	0.0002	electrical_stimulation	n/a	n/a	1465405	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
721.54248046875	0.0002	electrical_stimulation	n/a	n/a	1477719	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
725.87841796875	0.0002	electrical_stimulation	n/a	n/a	1486599	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
730.22119140625	0.0002	electrical_stimulation	n/a	n/a	1495493	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
734.93408203125	0.0002	electrical_stimulation	n/a	n/a	1505145	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
739.1201171875	0.0002	electrical_stimulation	n/a	n/a	1513718	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
748.91015625	0.0002	electrical_stimulation	n/a	n/a	1533768	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
783.77294921875	0.0002	electrical_stimulation	n/a	n/a	1605167	biphasic	ROP5-ROP6	128-129	6.0 mA	n/a	good	n/a
830.46435546875	0.0002	electrical_stimulation	n/a	n/a	1700791	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
834.1240234375	0.0002	electrical_stimulation	n/a	n/a	1708286	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
838.0126953125	0.0002	electrical_stimulation	n/a	n/a	1716250	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
841.67822265625	0.0002	electrical_stimulation	n/a	n/a	1723757	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
845.65087890625	0.0002	electrical_stimulation	n/a	n/a	1731893	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
849.57666015625	0.0002	electrical_stimulation	n/a	n/a	1739933	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
853.50146484375	0.0002	electrical_stimulation	n/a	n/a	1747971	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
857.255859375	0.0002	electrical_stimulation	n/a	n/a	1755660	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
861.1494140625	0.0002	electrical_stimulation	n/a	n/a	1763634	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
866.29052734375	0.0002	electrical_stimulation	n/a	n/a	1774163	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
870.13720703125	0.0002	electrical_stimulation	n/a	n/a	1782041	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
875.033203125	0.0002	electrical_stimulation	n/a	n/a	1792068	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
880.50732421875	0.0002	electrical_stimulation	n/a	n/a	1803279	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
905.109375	0.0002	electrical_stimulation	n/a	n/a	1853664	biphasic	RA1-RA2	1-2	6.0 mA	n/a	good	n/a
