onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
391.9609375	0.0002	electrical_stimulation	n/a	n/a	802736	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
405.03564453125	0.0002	electrical_stimulation	n/a	n/a	829513	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/Low
414.8681640625	0.0002	electrical_stimulation	n/a	n/a	849650	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	n/a
422.31298828125	0.0002	electrical_stimulation	n/a	n/a	864897	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/Low
429.97705078125	0.0002	electrical_stimulation	n/a	n/a	880593	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/Low
462.47900390625	0.0002	electrical_stimulation	n/a	n/a	947157	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
471.4462890625	0.0002	electrical_stimulation	n/a	n/a	965522	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
482.3681640625	0.0002	electrical_stimulation	n/a	n/a	987890	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
513.17724609375	0.0002	electrical_stimulation	n/a	n/a	1050987	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/Low
522.0869140625	0.0002	electrical_stimulation	n/a	n/a	1069234	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	n/a
538.74853515625	0.0002	electrical_stimulation	n/a	n/a	1103357	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	n/a
545.642578125	0.0002	electrical_stimulation	n/a	n/a	1117476	biphasic	LK1-LK2	164-165	6.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
590.2177734375	0.0002	electrical_stimulation	n/a	n/a	1208766	biphasic	LK2-LK3	165-166	6.0 mA	n/a	bad	large artifact, /Interictal-findings/Attribute/Categorical/Categorical-level/Low
610.240234375	0.0002	electrical_stimulation	n/a	n/a	1249772	biphasic	LK2-LK3	165-166	6.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
679.7705078125	0.0002	electrical_stimulation	n/a	n/a	1392170	biphasic	LK2-LK3	165-166	4.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
708.74658203125	0.0002	electrical_stimulation	n/a	n/a	1451513	biphasic	LK2-LK3	165-166	4.0 mA	n/a	good	n/a
716.17529296875	0.0002	electrical_stimulation	n/a	n/a	1466727	biphasic	LK2-LK3	165-166	4.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
723.8291015625	0.0002	electrical_stimulation	n/a	n/a	1482402	biphasic	LK2-LK3	165-166	4.0 mA	n/a	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
782.64501953125	0.0002	electrical_stimulation	n/a	n/a	1602857	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	n/a
786.8056640625	0.0002	electrical_stimulation	n/a	n/a	1611378	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	n/a
791.169921875	0.0002	electrical_stimulation	n/a	n/a	1620316	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	n/a
795.98681640625	0.0002	electrical_stimulation	n/a	n/a	1630181	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	n/a
800.7880859375	0.0002	electrical_stimulation	n/a	n/a	1640014	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	n/a
804.83447265625	0.0002	electrical_stimulation	n/a	n/a	1648301	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	n/a
810.9384765625	0.0002	electrical_stimulation	n/a	n/a	1660802	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	n/a
816.06396484375	0.0002	electrical_stimulation	n/a	n/a	1671299	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	n/a
821.1474609375	0.0002	electrical_stimulation	n/a	n/a	1681710	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	LZ11 bad channel
827.6376953125	0.0002	electrical_stimulation	n/a	n/a	1695002	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	n/a
832.85107421875	0.0002	electrical_stimulation	n/a	n/a	1705679	biphasic	LK2-LK3	165-166	3.0 mA	n/a	good	n/a
