onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
90.51513672	0.0002	electrical_stimulation	n/a	n/a	185375	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	n/a
97.52880859	0.0002	electrical_stimulation	n/a	n/a	199739	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	RQ4 bad channel
102.4541016	0.0002	electrical_stimulation	n/a	n/a	209826	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	wrong onset corrected
119.8574219	0.0002	electrical_stimulation	n/a	n/a	245468	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	n/a
125.2119141	0.0002	electrical_stimulation	n/a	n/a	256434	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	n/a
129.3837891	0.0002	electrical_stimulation	n/a	n/a	264978	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	n/a
134.199707	0.0002	electrical_stimulation	n/a	n/a	274841	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	wrong onset corrected
138.7211914	0.0002	electrical_stimulation	n/a	n/a	284101	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	n/a
143.0849609	0.0002	electrical_stimulation	n/a	n/a	293038	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	n/a
147.5317383	0.0002	electrical_stimulation	n/a	n/a	302145	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	RQ12&RK12 bad channel
151.8071289	0.0002	electrical_stimulation	n/a	n/a	310901	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	n/a
156.5771484	0.0002	electrical_stimulation	n/a	n/a	320670	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	RK12 bad channel
160.4716797	0.0002	electrical_stimulation	n/a	n/a	328646	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	n/a
164.637207	0.0002	electrical_stimulation	n/a	n/a	337177	biphasic	RK1-RK2	118-119	6.0 mA	n/a	good	n/a
190.9941406	0.0002	electrical_stimulation	n/a	n/a	391156	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	n/a
195.0654297	0.0002	electrical_stimulation	n/a	n/a	399494	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	RC1 bad channel
199.0693359	0.0002	electrical_stimulation	n/a	n/a	407694	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	RC9 & RC11 bad channels
203.2407227	0.0002	electrical_stimulation	n/a	n/a	416237	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	RC9 & RC11 bad channels
207.171875	0.0002	electrical_stimulation	n/a	n/a	424288	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	RC11  bad channel
211.112793	0.0002	electrical_stimulation	n/a	n/a	432359	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	RC11  bad channel
215.1479492	0.0002	electrical_stimulation	n/a	n/a	440623	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	RC11 & RC9  bad channels
219.6210938	0.0002	electrical_stimulation	n/a	n/a	449784	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	wrong onset corrected, RC11 & RC9  bad channels
223.4477539	0.0002	electrical_stimulation	n/a	n/a	457621	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	RC11 & RC9  bad channels
227.8793945	0.0002	electrical_stimulation	n/a	n/a	466697	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	RC11  bad channel
232.0083008	0.0002	electrical_stimulation	n/a	n/a	475153	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	wrong onset, RC11  bad channel
236.2519531	0.0002	electrical_stimulation	n/a	n/a	483844	biphasic	RK2-RK3	119-120	6.0 mA	n/a	good	RC11  bad channel
265.2973633	0.0002	electrical_stimulation	n/a	n/a	543329	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
268.9677734	0.0002	electrical_stimulation	n/a	n/a	550846	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
272.9194336	0.0002	electrical_stimulation	n/a	n/a	558939	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
277.4033203	0.0002	electrical_stimulation	n/a	n/a	568122	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
281.4018555	0.0002	electrical_stimulation	n/a	n/a	576311	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
285.5102539	0.0002	electrical_stimulation	n/a	n/a	584725	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
289.5664063	0.0002	electrical_stimulation	n/a	n/a	593032	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
293.7734375	0.0002	electrical_stimulation	n/a	n/a	601648	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
297.7304688	0.0002	electrical_stimulation	n/a	n/a	609752	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
301.5258789	0.0002	electrical_stimulation	n/a	n/a	617525	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	RC11 & RC2  bad channel
305.6552734	0.0002	electrical_stimulation	n/a	n/a	625982	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
309.4663086	0.0002	electrical_stimulation	n/a	n/a	633787	biphasic	RK3-RK4	120-121	6.0 mA	n/a	good	n/a
374.6577148	0.0002	electrical_stimulation	n/a	n/a	767299	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	n/a
378.8588867	0.0002	electrical_stimulation	n/a	n/a	775903	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	n/a
382.8691406	0.0002	electrical_stimulation	n/a	n/a	784116	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	wrong onset corrected
386.7011719	0.0002	electrical_stimulation	n/a	n/a	791964	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	wrong onset corrected
390.8920898	0.0002	electrical_stimulation	n/a	n/a	800547	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	n/a
394.73583985	0.0002	electrical_stimulation	n/a	n/a	808419	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	wrong onset corrected
398.8422852	0.0002	electrical_stimulation	n/a	n/a	816829	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	n/a
402.6376953	0.0002	electrical_stimulation	n/a	n/a	824602	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	n/a
406.3027344	0.0002	electrical_stimulation	n/a	n/a	832108	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	n/a
410.07861326875	0.0002	electrical_stimulation	n/a	n/a	839841	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	wrong onset corrected
414.2021484	0.0002	electrical_stimulation	n/a	n/a	848286	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	wrong onset corrected
418.02392575	0.0002	electrical_stimulation	n/a	n/a	856113	biphasic	RC1-RC2	31-32	6.0 mA	n/a	good	wrong onset corrected
