onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
1138.45751953125	0.0002	electrical_stimulation	n/a	n/a	2331561	biphasic	RB1-RB2	135-136	6.0 mA	n/a	good	n/a
1141.69140625	0.0002	electrical_stimulation	n/a	n/a	2338184	biphasic	RB1-RB2	135-136	6.0 mA	n/a	good	n/a
1146.19580078125	0.0002	electrical_stimulation	n/a	n/a	2347409	biphasic	RB1-RB2	135-136	6.0 mA	n/a	good	n/a
1150.455078125	0.0002	electrical_stimulation	n/a	n/a	2356132	biphasic	RB1-RB2	135-136	6.0 mA	n/a	good	n/a
1154.67236328125	0.0002	electrical_stimulation	n/a	n/a	2364769	biphasic	RB1-RB2	135-136	6.0 mA	n/a	good	n/a
1158.54541015625	0.0002	electrical_stimulation	n/a	n/a	2372701	biphasic	RB1-RB2	135-136	6.0 mA	n/a	good	n/a
1162.841796875	0.0002	electrical_stimulation	n/a	n/a	2381500	biphasic	RB1-RB2	135-136	6.0 mA	n/a	good	n/a
1165.99072265625	0.0002	electrical_stimulation	n/a	n/a	2387949	biphasic	RB1-RB2	135-136	6.0 mA	n/a	good	n/a
1170.42724609375	0.0002	electrical_stimulation	n/a	n/a	2397035	biphasic	RB1-RB2	135-136	6.0 mA	n/a	good	n/a
1173.794921875	0.0002	electrical_stimulation	n/a	n/a	2403932	biphasic	RB1-RB2	135-136	6.0 mA	n/a	good	n/a
1199.623046875	0.0002	electrical_stimulation	n/a	n/a	2456828	biphasic	RB2-RB3	136-137	6.0 mA	n/a	good	n/a
1203.2294921875	0.0002	electrical_stimulation	n/a	n/a	2464214	biphasic	RB2-RB3	136-137	6.0 mA	n/a	good	n/a
1206.75390625	0.0002	electrical_stimulation	n/a	n/a	2471432	biphasic	RB2-RB3	136-137	6.0 mA	n/a	good	n/a
1210.6494140625	0.0002	electrical_stimulation	n/a	n/a	2479410	biphasic	RB2-RB3	136-137	6.0 mA	n/a	good	n/a
1214.51123046875	0.0002	electrical_stimulation	n/a	n/a	2487319	biphasic	RB2-RB3	136-137	6.0 mA	n/a	good	n/a
1217.94189453125	0.0002	electrical_stimulation	n/a	n/a	2494345	biphasic	RB2-RB3	136-137	6.0 mA	n/a	good	n/a
1222.49853515625	0.0002	electrical_stimulation	n/a	n/a	2503677	biphasic	RB2-RB3	136-137	6.0 mA	n/a	good	n/a
