name	x	y	z	size	hemisphere	seizure_zone	Destrieux_label	Destrieux_label_text	sub_code
RX1	0.714285714285708	33.6071428571429	9.14285714285714	n/a	L		11106	lh_G&S_cingul-Ant	01
RX2	4.46511627906976	33	8.6046511627907	n/a	R		12106	rh_G&S_cingul-Ant	01
RX3	8.31034482758621	33.448275862069	8.17241379310344	n/a	R		41	Right_Cerebral_White_Matter	01
RX4	11.7027027027027	34.027027027027	7.75675675675676	n/a	R		41	Right_Cerebral_White_Matter	01
RX5	14.3846153846154	34	6.84615384615384	n/a	R		41	Right_Cerebral_White_Matter	01
RX6	18.225	33.95	6.52500000000001	n/a	R		41	Right_Cerebral_White_Matter	01
RX7	22.28125	33.875	6.25	n/a	R		41	Right_Cerebral_White_Matter	01
RX8	26.1794871794872	33	5.84615384615384	n/a	R		41	Right_Cerebral_White_Matter	01
RX9	30.275	33	5.65000000000001	n/a	R		41	Right_Cerebral_White_Matter	01
RX10	33.4102564102564	33.1282051282051	4.07692307692308	n/a	R		41	Right_Cerebral_White_Matter	01
RX11	37.4193548387097	33.4838709677419	3.93548387096774	n/a	R		41	Right_Cerebral_White_Matter	01
RX12	41.5	33.9	3.55	n/a	R		41	Right_Cerebral_White_Matter	01
RX13	45.3157894736842	34.0526315789474	2.6578947368421	n/a	R		41	Right_Cerebral_White_Matter	01
RX14	48.25	33.125	1.625	n/a	R		41	Right_Cerebral_White_Matter	01
RX15	52.2258064516129	33.1290322580645	0.774193548387096	n/a	R		12114	rh_G_front_inf-Triangul	01
RA1	14.4	-6.27500000000001	-28.275	n/a	R	IrritativeZone	2000		01
RA2	18.5789473684211	-5.02631578947368	-28.8947368421053	n/a	R	IrritativeZone	2000		01
RA3	22.125	-4.65625	-28.28125	n/a	R		54	Right_Amygdala	01
RA4	25.8529411764706	-3.14705882352941	-28.6470588235294	n/a	R		54	Right_Amygdala	01
RA5	29.5428571428571	-1.97142857142858	-28.9714285714286	n/a	R		54	Right_Amygdala	01
RA6	33.5952380952381	-1.28571428571429	-28.6428571428571	n/a	R		41	Right_Cerebral_White_Matter	01
RA7	35.8857142857143	-0.085714285714289	-29.2857142857143	n/a	R		41	Right_Cerebral_White_Matter	01
RA8	39.5675675675676	1.08108108108108	-30.1081081081081	n/a	R		41	Right_Cerebral_White_Matter	01
RA9	43.5135135135135	1.16216216216216	-29.9459459459459	n/a	R		12144	rh_Pole_temporal	01
RA10	47.25	2.36111111111111	-30.7777777777778	n/a	R		12144	rh_Pole_temporal	01
RA11	50.9142857142857	3.59999999999999	-31.4285714285714	n/a	R		12138	rh_G_temporal_middle	01
RA12	54.6857142857143	3.74285714285715	-31.7142857142857	n/a	R		12138	rh_G_temporal_middle	01
RA13	58.3	5	-31.5	n/a	R		12138	rh_G_temporal_middle	01
RC1	21.4444444444444	-16.8055555555556	-24.7222222222222	n/a	R		53	Right_Hippocampus	01
RC2	25.3125	-16.21875	-25.09375	n/a	R		53	Right_Hippocampus	01
RC3	28.8	-16.9714285714286	-24.3428571428571	n/a	R	IrritativeZone	53	Right_Hippocampus	01
RC4	32.5833333333333	-17.5555555555556	-23.9166666666667	n/a	R	IrritativeZone	53	Right_Hippocampus	01
RC5	36.4523809523809	-17.3333333333333	-24.4285714285714	n/a	R	IrritativeZone	53	Right_Hippocampus	01
RC6	40.2424242424242	-18	-23.8787878787879	n/a	R		12151	rh_S_collat_transv_ant	01
RC7	43.8	-18.3	-22.675	n/a	R		12151	rh_S_collat_transv_ant	01
RC8	47.3783783783784	-17.9189189189189	-22.972972972973	n/a	R		12151	rh_S_collat_transv_ant	01
RC9	49.4736842105263	-18.5	-22.1052631578947	n/a	R		41	Right_Cerebral_White_Matter	01
RC10	52.9705882352941	-18.0294117647059	-21.3823529411765	n/a	R		12173	rh_S_temporal_inf	01
RC11	56.741935483871	-18.9677419354839	-21.9032258064516	n/a	R		12138	rh_G_temporal_middle	01
RC12	60.5	-19.8571428571429	-21.7142857142857	n/a	R		12138	rh_G_temporal_middle	01
RC13	63.975	-19.65	-21.375	n/a	R		12138	rh_G_temporal_middle	01
RC14	67.78125	-20.8125	-21.9375	n/a	R		12138	rh_G_temporal_middle	01
RZ1	3.28947368421052	-49.9736842105263	24.7368421052632	n/a	R		12109	rh_G_cingul-Post-dorsal	01
RZ2	7.68571428571428	-50.2	24.1142857142857	n/a	R		12172	rh_S_subparietal	01
RZ3	12.5625	-49.71875	22.96875	n/a	R		41	Right_Cerebral_White_Matter	01
RZ4	16.6756756756757	-49	22.6216216216216	n/a	R		41	Right_Cerebral_White_Matter	01
RZ5	20.78125	-49.5625	22.3125	n/a	R		41	Right_Cerebral_White_Matter	01
RZ6	24.6363636363636	-48.969696969697	21.0606060606061	n/a	R		41	Right_Cerebral_White_Matter	01
RZ7	28.5555555555556	-49.9166666666667	20.8333333333333	n/a	R		41	Right_Cerebral_White_Matter	01
RZ8	32.475	-49.925	20.5	n/a	R		41	Right_Cerebral_White_Matter	01
RZ9	36.4324324324324	-50.5675675675676	19.027027027027	n/a	R		41	Right_Cerebral_White_Matter	01
RZ10	39.7272727272727	-49.9393939393939	18.8787878787879	n/a	R		12174	rh_S_temporal_sup	01
RZ11	43.55	-50.925	18.55	n/a	R		12174	rh_S_temporal_sup	01
RZ12	48.03125	-50.6875	17.09375	n/a	R		12174	rh_S_temporal_sup	01
RZ13	51.6190476190476	-51.6190476190476	16.4047619047619	n/a	R		12174	rh_S_temporal_sup	01
RZ14	54.7692307692308	-51.4102564102564	15.8717948717949	n/a	R		12174	rh_S_temporal_sup	01
RZ15	58.2222222222222	-52.8333333333333	13.9722222222222	n/a	R		12125	rh_G_pariet_inf-Angular	01
RZ16	61.78125	-52.46875	13.09375	n/a	R		12125	rh_G_pariet_inf-Angular	01
RY1	1.5	-8	31.5	n/a	R		12108	rh_G&S_cingul-Mid-Post	01
RY2	6.52941176470588	-7.41176470588235	30.9705882352941	n/a	R		12108	rh_G&S_cingul-Mid-Post	01
RY3	10.4634146341463	-7.07317073170732	30.3170731707317	n/a	R		41	Right_Cerebral_White_Matter	01
RY4	13.7333333333333	-6.66666666666667	29.8333333333333	n/a	R		41	Right_Cerebral_White_Matter	01
RY5	17.6153846153846	-6	29.1538461538462	n/a	R		43	Right_Lateral_Ventricle	01
RY6	21.2820512820513	-5.61538461538461	28.6410256410256	n/a	R		41	Right_Cerebral_White_Matter	01
RY7	26.2285714285714	-4.68571428571428	28.8	n/a	R		41	Right_Cerebral_White_Matter	01
RY8	29.875	-3.90625	29.1875	n/a	R		41	Right_Cerebral_White_Matter	01
RY9	33.6578947368421	-2.97368421052632	29.1842105263158	n/a	R		41	Right_Cerebral_White_Matter	01
RY10	37.4736842105263	-2.31578947368421	29.1842105263158	n/a	R		41	Right_Cerebral_White_Matter	01
RY11	41.258064516129	-2.03225806451613	28.9032258064516	n/a	R		41	Right_Cerebral_White_Matter	01
RY12	45.9285714285714	-0.964285714285708	29.0357142857143	n/a	R		41	Right_Cerebral_White_Matter	01
RY13	49.725	-0.974999999999994	28.35	n/a	R		41	Right_Cerebral_White_Matter	01
RY14	53.2439024390244	-1.02439024390245	27.4878048780488	n/a	R		41	Right_Cerebral_White_Matter	01
RY15	56.90625	-1	26.8125	n/a	R		41	Right_Cerebral_White_Matter	01
RY16	60.6333333333333	-1.13333333333334	26.0666666666667	n/a	R		12129	rh_G_precentral	01
